anio,sexo,x,n,nmx,nax,nqx,npx,lx,ndx,nLx,Tx,ex
2019,Mujeres,0,1,0.00904447,0.0783,0.0089697,0.9910303,100000,896.97,99173.29,8048772.72,80.4877
2019,Mujeres,1,4,0.0004514,1.5083,0.00180358,0.99819642,99103.03,178.74,395966.75,7949599.44,80.2155
2019,Mujeres,5,5,0.000213,2.5,0.00106442,0.99893558,98924.29,105.3,494358.21,7553632.69,76.3577
2019,Mujeres,10,5,0.00022418,2.5,0.00112029,0.99887971,98818.99,110.71,493818.2,7059274.48,71.4364
2019,Mujeres,15,5,0.00052446,2.5,0.00261887,0.99738113,98708.29,258.5,492895.18,6565456.28,66.5137
2019,Mujeres,20,5,0.0006134,2.5,0.00306231,0.99693769,98449.78,301.48,491495.21,6072561.11,61.6818
2019,Mujeres,25,5,0.00071788,2.5,0.00358297,0.99641703,98148.3,351.66,489862.34,5581065.9,56.8636
2019,Mujeres,30,5,0.00076759,2.5,0.0038306,0.9961694,97796.64,374.62,488046.63,5091203.56,52.0591
2019,Mujeres,35,5,0.00114678,2.5,0.0057175,0.9942825,97422.02,557.01,485717.56,4603156.92,47.2497
2019,Mujeres,40,5,0.00153794,2.5,0.00766025,0.99233975,96865.01,742.01,482470.01,4117439.36,42.507
2019,Mujeres,45,5,0.00242776,2.5,0.01206558,0.98793442,96123,1159.78,477715.53,3634969.36,37.8158
2019,Mujeres,50,5,0.00373721,2.5,0.01851309,0.98148691,94963.22,1758.06,470420.93,3157253.82,33.2471
2019,Mujeres,55,5,0.00597504,2.5,0.02943552,0.97056448,93205.15,2743.54,459166.92,2686832.9,28.8271
2019,Mujeres,60,5,0.00876277,2.5,0.04287461,0.95712539,90461.61,3878.51,442611.79,2227665.98,24.6255
2019,Mujeres,65,5,0.01363327,2.5,0.06591958,0.93408042,86583.11,5707.52,418646.72,1785054.19,20.6167
2019,Mujeres,70,5,0.02058015,2.5,0.09786551,0.90213449,80875.58,7914.93,384590.59,1366407.46,16.8952
2019,Mujeres,75,5,0.03328938,2.5,0.1536589,0.8463411,72960.65,11211.05,336775.63,981816.87,13.4568
2019,Mujeres,80,5,0.05637313,2.5,0.24704843,0.75295157,61749.6,15255.14,270610.14,645041.24,10.4461
2019,Mujeres,85,,0.1241736,8.0532,1,0,46494.46,46494.46,374431.1,374431.1,8.0532
